3,30,101,75,18,101,14,1.0,1.0,1.0
4,28,101,76,18,101,14,1.0,1.0,1.0
7,30,102,73,16,100,13,1.0,1.0,1.0
4,26,101,73,18,100,14,1.0,1.0,1.0
1,28,97,75,16,101,11,1.0,1.0,1.0
2,24,97,70,13,98,10,1.0,1.0,1.0
2,29,98,72,15,97,10,1.0,1.0,1.0
5,30,99,75,16,101,11,1.0,1.0,1.0
3,31,101,75,15,100,13,1.0,1.0,1.0
4,29,101,72,17,101,12,1.0,1.0,1.0
3,28,101,69,16,98,13,1.0,1.0,1.0
2,29,97,67,15,93,12,1.0,1.0,1.0
2,28,100,72,17,99,11,1.0,1.0,1.0
0,30,96,73,14,101,8,1.0,1.0,1.0
0,32,94,75,10,100,7,1.0,1.0,1.0
0,29,98,71,16,98,9,1.0,1.0,1.0
5,31,101,74,17,101,10,1.0,1.0,1.0
3,30,99,75,14,101,13,1.0,1.0,1.0
3,29,100,73,18,100,14,1.0,1.0,1.0
3,30,100,74,14,99,10,1.0,1.0,1.0
3,29,102,72,18,99,13,1.0,1.0,1.0
5,31,102,76,18,102,13,1.0,1.0,1.0
2,24,103,70,17,97,14,1.0,1.0,1.0
1,30,99,76,17,101,9,1.0,1.0,1.0
0,30,99,73,13,97,10,1.0,1.0,1.0
0,30,99,72,14,100,8,1.0,1.0,1.0
0,29,96,73,13,101,7,1.0,1.0,1.0
4,24,100,70,15,95,12,1.0,1.0,1.0
0,32,97,76,12,101,7,1.0,1.0,1.0
3,27,96,70,15,96,9,1.0,1.0,1.0
0,30,96,73,11,98,8,1.0,1.0,1.0
4,26,102,75,18,102,12,1.0,1.0,1.0
0,31,101,75,13,102,9,1.0,1.0,1.0
0,29,99,75,15,100,9,1.0,1.0,1.0
4,29,103,74,17,101,13,1.0,1.0,1.0
1,29,100,76,17,101,9,1.0,1.0,1.0
4,29,100,76,17,102,12,1.0,1.0,1.0
4,30,101,74,17,99,14,1.0,1.0,1.0
3,29,102,74,19,101,13,1.0,1.0,1.0
1,28,100,72,15,100,13,1.0,1.0,1.0
0,28,97,72,15,97,11,1.0,1.0,1.0
4,27,97,74,13,100,11,1.0,1.0,1.0
2,26,96,71,14,98,10,1.0,1.0,1.0
6,26,103,72,19,95,14,1.0,1.0,1.0
5,29,97,70,15,96,11,1.0,1.0,1.0
2,29,99,75,16,100,12,1.0,1.0,1.0
3,30,104,73,19,101,14,1.0,1.0,1.0
4,23,101,71,17,96,13,1.0,1.0,1.0
4,31,98,75,12,100,11,1.0,1.0,1.0
0,28,97,74,15,98,8,1.0,1.0,1.0
4,29,102,72,18,100,13,1.0,1.0,1.0
0,30,98,74,12,102,9,1.0,1.0,1.0
3,27,102,71,18,97,13,1.0,1.0,1.0
0,29,99,75,14,99,8,1.0,1.0,1.0
5,29,102,71,19,98,14,1.0,1.0,1.0
2,23,99,71,15,96,11,1.0,1.0,1.0
3,30,102,75,18,100,12,1.0,1.0,1.0
0,27,97,72,13,99,9,1.0,1.0,1.0
2,30,96,70,17,95,10,1.0,1.0,1.0
6,29,102,72,17,98,13,1.0,1.0,1.0
6,26,102,69,18,95,14,1.0,1.0,1.0
5,32,101,75,18,101,13,1.0,1.0,1.0
6,29,101,76,18,99,12,1.0,1.0,1.0
0,29,97,75,12,101,8,1.0,1.0,1.0
0,29,99,71,14,96,9,1.0,1.0,1.0
3,31,96,75,15,100,11,1.0,1.0,1.0
2,29,98,70,17,97,11,1.0,1.0,1.0
2,32,96,74,13,101,7,1.0,1.0,1.0
0,32,98,72,15,98,11,1.0,1.0,1.0
4,33,102,72,17,98,13,1.0,1.0,1.0
1,28,100,70,16,94,10,1.0,1.0,1.0
1,28,102,70,17,98,13,1.0,1.0,1.0
1,31,101,76,17,102,12,1.0,1.0,1.0
2,31,97,73,13,101,10,1.0,1.0,1.0
4,27,102,71,17,96,13,1.0,1.0,1.0
2,28,99,75,15,102,14,1.0,1.0,1.0
4,31,100,73,17,101,13,1.0,1.0,1.0
2,29,97,74,15,97,9,1.0,1.0,1.0
4,32,101,77,16,99,12,1.0,1.0,1.0
4,31,101,75,18,101,13,1.0,1.0,1.0
2,29,99,76,13,99,11,1.0,1.0,1.0
0,32,86,76,14,100,10,1.0,1.0,1.0
5,11,22,26,16,96,13,1.0,1.0,1.0
3,9,18,22,16,97,13,1.0,1.0,1.0
3,10,18,20,16,98,12,1.0,1.0,1.0
1,4,12,18,13,96,9,1.0,1.0,1.0
1,9,14,20,18,101,11,1.0,1.0,1.0
4,5,16,15,18,96,15,1.0,1.0,1.0
4,12,13,20,18,99,14,1.0,1.0,1.0
2,11,10,13,14,93,11,1.0,1.0,1.0
0,9,10,19,12,99,8,1.0,1.0,1.0
4,10,10,19,15,99,11,1.0,1.0,1.0
3,10,10,21,10,100,10,1.0,1.0,1.0
4,4,13,17,16,95,11,1.0,1.0,1.0
1,10,13,20,16,100,13,1.0,1.0,1.0
0,11,10,20,15,100,11,1.0,1.0,1.0
0,8,7,20,10,99,7,1.0,1.0,1.0
2,6,13,19,14,96,12,1.0,1.0,1.0
1,12,13,19,13,101,8,1.0,1.0,1.0
0,8,12,18,13,98,11,1.0,1.0,1.0
3,5,15,19,16,96,14,1.0,1.0,1.0
0,8,11,18,11,99,10,1.0,1.0,1.0
3,6,12,20,17,100,13,1.0,1.0,1.0
0,9,12,18,14,97,11,1.0,1.0,1.0
4,11,14,21,16,100,13,1.0,1.0,1.0
4,11,13,15,15,96,13,1.0,1.0,1.0
