5,12,35,1198,98,5,806,2.0
6,15,36,1196,97,1,806,2.0
3,14,34,1198,98,7,803,2.0
6,15,35,1198,98,6,807,2.0
5,14,37,1195,98,6,807,2.0
6,15,36,1200,100,7,805,2.0
4,16,35,1199,97,7,807,2.0
4,15,36,1198,98,8,805,2.0
4,18,33,1199,95,8,807,2.0
9,16,36,1199,99,7,807,2.0
6,16,37,1199,100,7,808,2.0
5,16,34,1200,98,9,806,2.0
5,14,35,1198,98,6,806,2.0
1,16,31,1196,96,7,801,2.0
5,15,36,1196,98,7,806,2.0
3,17,33,1200,97,8,804,2.0
6,17,36,1200,98,8,805,2.0
5,17,34,1199,96,7,806,2.0
4,18,32,1200,96,6,804,2.0
8,17,36,1198,97,6,806,2.0
4,15,34,1199,98,8,806,2.0
5,14,36,1198,97,8,807,2.0
5,17,34,1199,98,8,806,2.0
4,16,35,1198,97,7,804,2.0
4,17,31,1200,96,9,805,2.0
6,13,35,1196,99,6,806,2.0
5,11,36,1195,98,3,808,2.0
5,16,37,1198,98,6,809,2.0
4,13,37,1195,98,7,806,2.0
3,15,37,1197,98,8,807,2.0
0,15,31,1199,97,7,804,2.0
5,15,36,1199,98,7,807,2.0
6,12,35,1196,98,5,805,2.0
8,16,36,1197,97,3,806,2.0
7,17,37,1197,99,6,807,2.0
6,16,36,1199,97,6,806,2.0
4,16,34,1198,97,7,805,2.0
3,16,32,1198,94,8,804,2.0
2,16,32,1199,97,7,802,2.0
7,13,35,1196,99,1,807,2.0
6,16,37,1197,98,7,806,2.0
4,13,36,1198,98,7,804,2.0
4,15,33,1198,94,7,803,2.0
3,16,34,1199,95,6,806,2.0
5,14,35,1198,97,6,807,2.0
5,16,36,1199,99,5,808,2.0
3,14,36,1198,99,4,806,2.0
2,12,34,1197,97,4,806,2.0
6,14,36,1198,98,6,808,2.0
0,16,32,1200,95,8,804,2.0
5,15,30,1199,94,9,802,2.0
8,17,36,1199,100,8,809,2.0
6,17,35,1197,98,3,805,2.0
1,18,32,1200,96,8,804,2.0
6,15,36,1197,96,6,804,2.0
4,16,36,1195,97,2,804,2.0
3,10,30,1199,93,6,804,2.0
5,16,35,1198,99,7,808,2.0
3,16,36,1200,99,7,807,2.0
1,16,36,1199,98,8,805,2.0
5,16,35,1197,98,5,807,2.0
4,10,34,1195,97,3,806,2.0
4,13,36,1197,99,4,807,2.0
3,15,35,1197,97,7,807,2.0
4,15,36,1195,97,3,806,2.0
0,15,32,1199,93,6,804,2.0
4,11,33,1196,97,3,807,2.0
1,16,34,1199,95,8,805,2.0
1,17,32,1197,95,7,804,2.0
6,19,37,1199,98,9,807,2.0
8,13,35,1195,98,5,808,2.0
7,13,32,1197,96,8,804,2.0
4,17,33,1200,95,6,805,2.0
3,17,32,1199,94,8,803,2.0
6,15,32,1198,97,7,804,2.0
3,12,36,1197,99,9,807,2.0
3,17,34,1198,98,7,805,2.0
2,15,31,1197,92,5,804,2.0
3,18,30,1199,94,6,803,2.0
6,16,36,1199,99,7,807,2.0
3,14,33,1198,94,7,805,2.0
2,12,33,1197,93,7,805,2.0
2,14,34,1198,95,8,804,2.0
5,12,37,1199,97,7,807,2.0
3,12,34,1198,97,5,807,2.0
7,18,35,1199,97,8,806,2.0
7,14,36,1195,97,4,807,2.0
4,15,31,1199,95,8,804,2.0
5,12,35,1196,96,5,805,2.0
6,15,36,1198,99,7,807,2.0
3,16,37,1200,97,6,806,2.0
4,15,34,1199,94,7,804,2.0
3,16,34,1197,96,5,806,2.0
1,16,32,1198,95,6,803,2.0
6,15,36,1199,96,8,808,2.0
5,16,33,1199,97,6,806,2.0
0,16,30,1200,94,8,801,2.0
0,17,34,1199,98,6,805,2.0
4,12,36,1197,96,3,807,2.0
6,16,36,1197,100,7,807,2.0
4,8,87,261,77,6,249,2.0
5,10,85,261,77,9,250,2.0
2,10,80,263,73,9,246,2.0
1,13,83,263,74,10,245,2.0
6,8,85,259,77,7,248,2.0
3,12,85,262,76,8,249,2.0
4,9,86,260,77,9,248,2.0
0,12,82,262,72,11,244,2.0
4,10,85,262,77,9,248,2.0
3,12,82,262,73,12,245,2.0
3,12,85,261,77,9,249,2.0
5,10,86,259,77,7,248,2.0
3,10,84,258,72,7,247,2.0
4,7,86,260,76,8,248,2.0
2,9,84,261,74,7,247,2.0
6,12,85,264,74,11,248,2.0
3,14,83,264,74,11,246,2.0
4,14,84,264,77,11,249,2.0
4,8,86,262,77,5,248,2.0
6,9,86,259,77,6,248,2.0
4,10,84,260,77,9,248,2.0
4,10,84,260,74,9,248,2.0
4,8,85,262,77,10,249,2.0
5,7,84,257,76,6,246,2.0
4,11,84,260,76,7,249,2.0
4,12,84,261,75,9,249,2.0
1,12,80,262,71,11,244,2.0
2,11,83,262,74,11,245,2.0
4,11,84,258,76,5,248,2.0
4,8,84,265,77,9,248,2.0
5,13,84,264,74,11,248,2.0
4,10,84,262,75,9,248,2.0
4,10,86,259,77,5,248,2.0
5,11,85,263,77,10,249,2.0
6,9,84,261,78,7,248,2.0
3,9,85,262,75,9,248,2.0
4,9,85,259,77,7,247,2.0
0,12,82,262,75,12,242,2.0
4,12,85,261,76,6,247,2.0
0,11,82,263,73,10,243,2.0
4,12,86,264,78,10,249,2.0
3,8,86,264,77,8,247,2.0
0,13,82,263,76,12,245,2.0
4,11,84,261,77,9,248,2.0
3,10,85,263,75,7,247,2.0
5,9,84,262,76,9,247,2.0
0,12,81,262,73,10,245,2.0
0,10,83,261,77,9,245,2.0
2,13,79,263,73,9,245,2.0
6,10,85,263,77,9,248,2.0
5,8,85,258,76,6,249,2.0
3,12,84,262,76,10,247,2.0
2,10,83,260,75,9,248,2.0
5,11,84,260,77,7,249,2.0
2,11,84,262,72,11,244,2.0
6,12,85,261,78,11,249,2.0
2,13,82,265,77,11,247,2.0
0,11,81,260,71,7,244,2.0
4,9,86,261,73,8,246,2.0
2,11,83,263,77,11,248,2.0
6,9,85,262,76,11,248,2.0
5,8,85,261,77,6,247,2.0
4,12,83,259,76,5,245,2.0
7,11,85,264,78,11,248,2.0
6,11,80,261,73,9,246,2.0
2,12,84,263,74,8,247,2.0
4,6,86,260,77,5,247,2.0
5,13,86,265,77,11,248,2.0
7,8,86,261,75,8,249,2.0
3,11,86,262,75,11,248,2.0
5,8,86,261,76,5,249,2.0
2,13,86,263,77,12,248,2.0
5,13,86,262,76,10,249,2.0
6,7,85,258,79,5,249,2.0
1,14,78,262,72,9,243,2.0
4,12,87,263,78,11,248,2.0
0,11,82,264,71,11,247,2.0
5,12,86,262,76,12,247,2.0
3,12,84,263,75,11,245,2.0
4,13,84,263,74,9,249,2.0
2,12,82,260,75,7,247,2.0
5,9,84,262,76,9,250,2.0
3,9,83,261,72,9,245,2.0
4,11,83,263,77,11,247,2.0
2,12,84,264,76,12,248,2.0
1,13,83,263,75,10,246,2.0
6,12,85,261,76,10,249,2.0
3,11,83,258,72,6,246,2.0
6,11,85,260,77,11,248,2.0
6,11,85,263,79,11,249,2.0
3,10,81,261,73,10,247,2.0
4,11,84,260,73,11,248,2.0
4,11,86,263,76,11,249,2.0
5,10,87,259,75,6,247,2.0
5,12,84,262,75,10,250,2.0
3,9,85,259,76,8,248,2.0
5,12,85,261,77,9,248,2.0
3,12,81,265,74,11,244,2.0
5,10,84,263,76,10,247,2.0
2,7,80,264,73,10,242,2.0
5,10,117,97,46,19,113,2.0
2,10,117,97,47,19,110,2.0
4,9,115,96,44,18,111,2.0
5,6,116,93,47,16,113,2.0
5,5,116,94,47,15,114,2.0
3,11,114,96,45,20,112,2.0
6,9,116,96,47,17,113,2.0
0,12,112,96,43,17,109,2.0
5,7,117,94,46,17,114,2.0
